codigo_material_recibido,cantidad_actual
EAX69871901-2512130021,150
EAX69871901-2512130020,150
EAX69871901-2512130019,150
EAX69871901-2512130018,150
EAX69871901-2512130017,150
EAX69871901-2512130016,150
EAX69871901-2512130015,150
EAX69871901-2512130014,150
EAX69871901-2512130013,150
EAX69871901-2512130012,150
EAX69871901-2512130011,150
EAX69871901-2512130010,150
EAX69871901-2512130009,150
EAX69871901-2512130007,150
EAX69871901-2512130008,150
EAX69871901-2512130006,150
EAX69871901-2512130005,150
EAX69871901-2512130004,150
EAX69871901-2512130002,150
EAX69871901-2512130003,150
EAX69871901-2512130001,150
EAX69871901-2512030030,150
EAX69871901-2512030029,150
EAX69871901-2512030028,150
EAX69871901-2512030027,150
EAX69871901-2512030026,150
EAX69871901-2512030025,150
EAX69871901-2512030024,150
EAX69871901-2512030023,150
EAX69871901-2512030022,150
EAX69871901-2512030021,150
EAX69871901-2512030020,150
EAX69871901-2512030019,150
EAX69871901-2512030016,150
EAX69871901-2512030015,150
EAX69871901-2512030014,150
EAX69871901-2512030013,150
EAX69871901-2512030012,150
EAX69871901-2512030011,150
EAX69871901-2512030010,150
EAX69871901-2512030009,150
EAX69871901-2512030008,150
EAX69871901-2512030007,150
EAX69871901-2512030002,150
EAX69871901-2512030001,150
EAX66726315-2601060070,100
EAX66726315-2601060069,100
EAX66726315-2601060068,100
EAX66726315-2601060067,100
EAX66726315-2601060066,100
EAX66726315-2601060065,100
EAX66726315-2601060064,100
EAX66726315-2601060063,100
EAX66726315-2601060062,100
EAX66726315-2601060061,100
EAX66726315-2601060060,100
EAX66726315-2601060059,100
EAX66726315-2601060058,100
EAX66726315-2601060057,100
EAX66726315-2601060056,100
EAX66726315-2601060055,100
EAX66726315-2601060054,100
EAX66726315-2601060053,100
EAX66726315-2601060052,100
EAX66726315-2601060051,100
EAX66726315-2601060049,100
EAX66726315-2601060050,100
EAX66726315-2601060048,100
EAX66726315-2601060047,100
EAX66726315-2601060045,100
